r,Name of toxic metals removed,Domain,Phylum/Division,Genus,Nature,Type of process
,,,,,,
,,,,,,
,,,,,,
Acidithiobacillus thioxidans,"Arsenic, Lead, Copper",Bacteria,Eubacteria,Acidithiobacillia,Mesophilic,bioleaching of toxic metals
Micrococcus roseus,"Cadmium, Copper",Bacteria,Actinobacteria,Micrococcus,Mesophilic,bioleaching of toxic metals
Thiobacillus ferrooxidans,"Arsenic, Lead",Bacteria,Eubacteria,Acidithiobacillia,Mesophilic,bioleaching of toxic metals
Aspergillus fumigatus,Arsenic,Fungus,Ascomycota,Aspergillus,Mesophilic,bioleaching of toxic metals
Aspergillus niger,"Cadmium, Lead, Aluminum",Fungus,Ascomycota,Aspergillus,Mesophilic,bioleaching of toxic metals
,,,,,,
,,,,,,
,,,,,,
Bacillus sphaericus,Chromium,Bacteria,Bacilli,Bacillus,Aerophilic,biosorption of toxic metals
Myxococcus xanthus,Uranium,Bacteria,Proteobacteria,Myxococcus,Mesophilic ,biosorption of toxic metals
Pseudomonas aeruginosa,"Cadmium, Uranium",Bacteria,Proteobacteria,Pseudomonas,Mesophilic ,biosorption of toxic metals
"Streptoverticillium
 cinnamoneum","Lead,Zinc",Bacteria,Actinobacteria,Streptomyces,Alkaliphile,biosorption of toxic metals
Rhizopus arrhizus,"Uranium, Zinc",Fungus,Mucoromycota,Rhizopus,Hydrophilic,biosorption of toxic metals
Saccharomyces cerevisiae,"Cadmium, Lead",Fungus,Ascomycota,Saccharomyces,Mesophilic ,biosorption of toxic metals
,,,,,,
,,,,,,
,,,,,,
Bacillus circulans,"Chromium,Gold",Bacteria,Firmicutes,Bacillus,Aerophilic,bioaccumulation of toxic metals
Bacillus megaterium,Chromium,Bacteria,Firmicutes,Bacillus,Aerophilic,bioaccumulation of toxic metals
Deinococcus radiodurans,Uranium,Bacteria,Eubacteria,Deinococcus,Extremophilic,bioaccumulation of toxic metals
Micrococcus luteus,Uranium,Bacteria,Actinobacteria,Micrococcus,Halophilic,bioaccumulation of toxic metals
Aspergillus niger,"Chromium, Lead, Aluminum",Fungus,Ascomycota,Aspergillus,Mesophilic,bioaccumulation of toxic metals
Monodictys pelagica,"Chromium, Lead",Fungus,Ascomycota,Piricauda,Halophilic,bioaccumulation of toxic metals
,,,,,,
,,,,,,
,,,,,,
Anaeromyxobacter sp.,Uranium,Bacteria,Proteobacteria,Anaeromyxobacter,Mesophilic,"biotransformation of toxic metals
"
Clostridium sphenoides,Uranium,Bacteria,Firmicutes,Clostridium,Thermophilic,"biotransformation of toxic metals
"
Halomonas sp.,"Uranium, Arsenic",Bacteria,Proteobacteria,Halomonas,Halophilic,"biotransformation of toxic metals
"
Serratia sp.,Chromium,Bacteria,Proteobacteria,Serratia,Hydrophilic,"biotransformation of toxic metals
"
Fusarium oxysporum,Cadmium,Fungus,Ascomycota,Fusarium,Lipophilic,"biotransformation of toxic metals
"
Rhizopus oryzae,Chromium,Fungus,Mucoromycota,Rhizopus,Neutrophilic,"biotransformation of toxic metals
"
,,,,,,
,,,,,,
,,,,,,
Bacillus fusiformis,"Lead, Iron",Bacteria,Firmicutes,Lysinibacillus,Mesophilic,"biomineralization of toxic metals
"
Cupriavidus metallidurans,"Cadmium, Iron",Bacteria,Proteobacteria,Cupriavidus,Mesophilic,"biomineralization of toxic metals
"
Desulfotomaculum auripigmentum,"Arsenic, Iron",Bacteria,Firmicutes,Desulfosporosinus,Acidophilic,"biomineralization of toxic metals
"
Sporosarcina ginsengisoli,"Arsenic, Iron",Bacteria,	Firmicutes,Sporosarcina,Oligophilic,"biomineralization of toxic metals
"
Aspergillus flavus,"Lead, Iron",Fungus,Ascomycota,Aspergillus,Mesophilic,"biomineralization of toxic metals
"